Time(s),Speed(kmph)
0.02,0
1.03,0
2.04,0
3.05,0
4.06,0
5.07,0
6.08,0
7.09,0
8.1,0
9.11,0
10.12,0
11.13,0
12.14,0
13.15,0
14.16,0
15.17,0
16.18,0.357
17.19,2.514
18.2,4.85
19.21,7.205
20.22,9.562
21.23,11.918
22.24,14.206
23.25,16.253
24.26,18.275
25.27,20.296
26.28,21.283
27.29,19.336
28.3,17.096
29.31,14.827
30.32,13.183
31.33,13.018
32.34,13.596
33.35,15.472
34.36,17.477
35.37,19.496
36.38,21.516
37.39,23.399
38.4,25.041
39.41,26.66
40.42,28.276
41.43,29.892
42.44,30.115
43.45,28.32
44.46,26.322
45.47,25.132
46.48,25.013
47.49,25.001
48.5,25
49.51,24.1
50.52,22.192
51.53,21.88
52.54,23.326
53.55,24.947
54.56,26.587
55.57,28.228
56.58,29.869
57.59,31.51
58.6,33.151
59.61,34.532
60.62,35.709
61.63,36.866
62.64,38.02
63.65,39.175
64.66,40.329
65.67,41.483
66.68,40.943
67.69,39.374
68.7,37.702
69.71,37.07
70.72,37.007
71.73,37.001
72.74,37
73.75,37
74.76,37
75.77,37
76.78,35.961
77.79,34.493
78.8,34.862
79.81,35.938
80.82,37.084
81.83,38.238
82.84,39.392
83.85,40.546
84.86,41.7
85.87,40.68
86.88,39.063
87.89,37.386
88.9,35.704
89.91,34.02
90.92,32.337
91.93,30.654
92.94,28.97
93.95,27.287
94.96,25.441
95.97,23.568
96.98,21.693
97.99,19.817
99,17.941
100.01,16.066
101.02,14.193
102.03,12.591
103.04,11.017
104.05,9.446
105.06,7.875
106.07,6.303
107.08,4.732
108.09,3.161
109.1,1.59
110.11,0.159
111.12,0.016
112.13,0.002
113.14,0
114.15,0
115.16,0
116.17,0
117.18,0
118.19,0
119.2,0
